RANDOM_EVENT;TIME
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.2
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.2
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.4
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.4
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.4
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.4
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.4
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.4
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.5
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.5
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.5
MOVE_RANDOM_FUNCTION_ACTIVATED;30:01.5
END_RANDOM_MOVEMENT;30:01.5
ZOMBIE_EATS;30:01.6
ZOMBIE_EATS;30:05.0
ZOMBIE_EATS;30:08.3
ZOMBIE_SCREAM;30:08.5
START_SLOW_DOWN;30:08.5
END_SLOW_DOWN;30:10.5
ZOMBIE_EATS;30:11.3
ZOMBIE_SCREAM;30:12.5
START_SLOW_DOWN;30:12.5
END_SLOW_DOWN;30:14.5
ZOMBIE_EATS;30:16.0
ZOMBIE_EATS;30:17.4
ZOMBIE_EATS;30:20.4
START_HUMAN_ERROR;30:20.5
END_HUMAN_ERROR;30:21.5
START_HUMAN_ERROR;30:23.5
END_HUMAN_ERROR;30:24.5
ZOMBIE_EATS;30:27.2
ZOMBIE_SCREAM;30:27.5
START_RANDOM_MOVEMENT;30:27.5
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.5
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.5
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.6
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.6
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.6
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.6
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.7
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.7
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.7
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.8
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.9
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.9
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.9
MOVE_RANDOM_FUNCTION_ACTIVATED;30:27.9
